scholar_name,mag_name,jw,qgram,scholar_cat
Neuropsychopharmacology,Neuropsychopharmacology,1,1,med_psychiatry
Neuropsychopharmacology,Neuropsychobiology,0.917,0.667,med_psychiatry
Neuropsychopharmacology,Neuropsychologia,0.905,0.583,med_psychiatry
Molecular Psychiatry,Molecular Psychiatry,1,1,med_psychiatry
Molecular Psychiatry,Molecular Therapy,0.923,0.524,med_psychiatry
Molecular Psychiatry,Molecular Physics,0.923,0.524,med_psychiatry
Journal of the American Academy of Child & Adolescent Psychiatry,Journal of the American Academy of Child and Adolescent Psychiatry,0.959,0.94,med_psychiatry
Journal of the American Academy of Child & Adolescent Psychiatry,Journal of The American Academy of Child Psychiatry,0.948,0.8,med_psychiatry
Journal of the American Academy of Child & Adolescent Psychiatry,Journal of the American Academy of Psychiatry and the Law,0.928,0.738,med_psychiatry
Journal of Psychiatric Research,Journal of Psychiatric Research,1,1,med_psychiatry
Journal of Psychiatric Research,Journal of Psychosomatic Research,0.949,0.824,med_psychiatry
Journal of Psychiatric Research,Journal of Psychiatric Practice,0.941,0.719,med_psychiatry
Journal of Child Psychology and Psychiatry,Journal of Child Psychology and Psychiatry,1,1,med_psychiatry
Journal of Child Psychology and Psychiatry,Journal of Child Psychotherapy,0.911,0.558,med_psychiatry
Journal of Child Psychology and Psychiatry,Journal of Psychology & Clinical Psychiatry,0.906,0.773,med_psychiatry
Journal of Affective Disorders,Journal of Affective Disorders,1,1,med_psychiatry
Journal of Affective Disorders,Journal of Movement Disorders,0.915,0.71,med_psychiatry
Journal of Affective Disorders,Journal of Pigmentary Disorders,0.912,0.656,med_psychiatry
JAMA Psychiatry,JAMA Psychiatry,1,1,med_psychiatry
JAMA Psychiatry,JAMA Pediatrics,0.857,0.562,med_psychiatry
JAMA Psychiatry,JAMA,0.853,0.312,med_psychiatry
Frontiers in Psychiatry,Frontiers in Psychiatry,1,1,med_psychiatry
Frontiers in Psychiatry,Frontiers in Physics,0.934,0.583,med_psychiatry
Frontiers in Psychiatry,Frontiers in Psychology,0.93,0.792,med_psychiatry
Clinical Psychology Review,Clinical Psychology Review,1,1,med_psychiatry
Clinical Psychology Review,Clinical Scholars Review,0.927,0.704,med_psychiatry
Clinical Psychology Review,Clinical Psychologist,0.927,0.667,med_psychiatry
Biological Psychiatry,Biological Psychiatry,1,1,med_psychiatry
Biological Psychiatry,Biological Psychology,0.924,0.773,med_psychiatry
Biological Psychiatry,Biological Chemistry,0.918,0.682,med_psychiatry
BMC Psychiatry,BMC Psychiatry,1,1,med_psychiatry
BMC Psychiatry,BMC Psychology,0.886,0.667,med_psychiatry
BMC Psychiatry,BMC Biochemistry,0.876,0.471,med_psychiatry
American Journal of Psychiatry,American Journal of Psychiatry,1,1,med_psychiatry
American Journal of Psychiatry,African Journal of Psychiatry,0.97,0.903,med_psychiatry
American Journal of Psychiatry,American Journal of Psychotherapy,0.962,0.765,med_psychiatry
Visual Resources,Visual Resources,1,1,hum_visualarts
Visual Resources,Visual Neuroscience,0.894,0.45,hum_visualarts
Visual Resources,Visual arts research,0.886,0.571,hum_visualarts
Third Text,Third Text,1,1,hum_visualarts
Third Text,Third Coast,0.867,0.583,hum_visualarts
Third Text,The Antidote,0.791,0.231,hum_visualarts
The Senses and Society,The Senses and Society,1,1,hum_visualarts
The Senses and Society,The Business Renaissance Quarterly,0.869,0.257,hum_visualarts
The Senses and Society,The Korean Poetics Studies,0.856,0.37,hum_visualarts
The Journal of Aesthetics and Art Criticism,The Journal of Aesthetics and Art Criticism,1,1,hum_visualarts
The Journal of Aesthetics and Art Criticism,The Journal of Dramatic Theory and Criticism,0.918,0.733,hum_visualarts
The Journal of Aesthetics and Art Criticism,The Journal of Aesthetic Education,0.914,0.568,hum_visualarts
Studies in Art Education,Studies in Adult Education,0.951,0.852,hum_visualarts
Studies in Art Education,Studies on History Education,0.921,0.655,hum_visualarts
Studies in Art Education,Studies in Higher Education,0.91,0.75,hum_visualarts
October,October,1,1,hum_visualarts
October,Occupational ergonomics,0.765,0.125,hum_visualarts
October,Ctheory,0.743,0.125,hum_visualarts
Museum International,Museum International,1,1,hum_visualarts
Museum International,Museum International (edition Francaise),0.9,0.512,hum_visualarts
Museum International,Museum,0.86,0.333,hum_visualarts
Leonardo,Leonardo,1,1,hum_visualarts
Leonardo,Leonardo Music Journal,0.873,0.391,hum_visualarts
Leonardo,Leonardo electronic almanac,0.859,0.321,hum_visualarts
Journal of Visual Culture,Journal of Visual Culture,1,1,hum_visualarts
Journal of Visual Culture,Journal of Visual Literacy,0.944,0.667,hum_visualarts
Journal of Visual Culture,Journal of Apiculture,0.92,0.692,hum_visualarts
Journal of Design History,Journal of Design History,1,1,hum_visualarts
Journal of Design History,Journal of Asian History,0.959,0.808,hum_visualarts
Journal of Design History,Journal of Belgian History,0.935,0.741,hum_visualarts
International Journal of Education Through Art,International Journal of Education Through Art,1,1,hum_visualarts
International Journal of Education Through Art,International Journal of Education,0.948,0.745,hum_visualarts
International Journal of Education Through Art,International Journal of Education and the Arts,0.943,0.833,hum_visualarts
International Journal of Art & Design Education,International Journal of Art and Design Education,0.949,0.92,hum_visualarts
International Journal of Art & Design Education,International Journal of Instruction,0.942,0.625,hum_visualarts
International Journal of Art & Design Education,International Journal of Leadership in Education,0.939,0.755,hum_visualarts
Grey Room,Grey Room,1,1,hum_visualarts
Grey Room,Greece & Rome,0.84,0.429,hum_visualarts
Grey Room,Green Farming,0.797,0.214,hum_visualarts
Digital Creativity,Digital Creativity,1,1,hum_visualarts
Digital Creativity,Digital Treatise,0.888,0.632,hum_visualarts
Digital Creativity,Digital Esthetics,0.882,0.474,hum_visualarts
Design and Culture,Design and Culture,1,1,hum_visualarts
Design and Culture,Design Journal,0.871,0.421,hum_visualarts
Design and Culture,Design Studies,0.861,0.421,hum_visualarts
Artnodes,Artnews,0.921,0.556,hum_visualarts
Artnodes,Andes,0.888,0.444,hum_visualarts
Artnodes,Art and design,0.854,0.333,hum_visualarts
Artforum,Artforum International,0.873,0.391,hum_visualarts
Artforum,Arbitrium,0.844,0.4,hum_visualarts
Artforum,ERA Forum,0.837,0.5,hum_visualarts
Art Journal,Art Journal,1,1,hum_visualarts
Art Journal,ARS Journal,0.952,0.833,hum_visualarts
Art Journal,R Journal,0.939,0.667,hum_visualarts
Art Education,BJA Education,0.897,0.714,hum_visualarts
Art Education,Metro Education,0.88,0.625,hum_visualarts
Art Education,ISRN Education,0.877,0.667,hum_visualarts
ASAP/Journal,Aaps Journal,0.923,0.692,hum_visualarts
ASAP/Journal,Asahi journal,0.907,0.714,hum_visualarts
ASAP/Journal,Aps Journal,0.893,0.692,hum_visualarts
Vision Research,Vision Research,1,1,med_ophthalmologyoptometry
Vision Research,Fusion research,0.885,0.812,med_ophthalmologyoptometry
Vision Research,Soil Research,0.88,0.562,med_ophthalmologyoptometry
The Ocular Surface,The Cell Surface,0.888,0.632,med_ophthalmologyoptometry
The Ocular Surface,The journal of nursing care,0.88,0.286,med_ophthalmologyoptometry
The Ocular Surface,The Journal of Risk Finance,0.871,0.286,med_ophthalmologyoptometry
Survey of Ophthalmology,Survey of Ophthalmology,1,1,med_ophthalmologyoptometry
Survey of Ophthalmology,Survey Methodology,0.892,0.542,med_ophthalmologyoptometry
Survey of Ophthalmology,Survey of Anesthesiology,0.884,0.64,med_ophthalmologyoptometry
Retina,Retina Today,0.9,0.538,med_ophthalmologyoptometry
Retina,Rethinking Marxism,0.844,0.211,med_ophthalmologyoptometry
Retina,Retinal Cases & Brief Reports,0.841,0.2,med_ophthalmologyoptometry
Progress in Retinal and Eye Research,Progress in Retinal and Eye Research,1,1,med_ophthalmologyoptometry
Progress in Retinal and Eye Research,Progress in Retinal Research,0.941,0.784,med_ophthalmologyoptometry
Progress in Retinal and Eye Research,Progress in Brain Research,0.907,0.595,med_ophthalmologyoptometry
Ophthalmology,Ophthalmology,1,1,med_ophthalmologyoptometry
Ophthalmology,Ophthalmologe,0.969,0.857,med_ophthalmologyoptometry
Ophthalmology,Ophthalmologica,0.945,0.75,med_ophthalmologyoptometry
Journal of Vision,Journal of Vision,1,1,med_ophthalmologyoptometry
Journal of Vision,Journal of Visualization,0.942,0.68,med_ophthalmologyoptometry
Journal of Vision,Journal of Legislation,0.934,0.652,med_ophthalmologyoptometry
Journal of Glaucoma,Journal of Glaucoma,1,1,med_ophthalmologyoptometry
Journal of Glaucoma,Journal of Mammalogy,0.925,0.571,med_ophthalmologyoptometry
Journal of Glaucoma,Journal of AHIMA,0.922,0.65,med_ophthalmologyoptometry
Journal of Cataract & Refractive Surgery,Journal of Cataract and Refractive Surgery,0.965,0.907,med_ophthalmologyoptometry
Journal of Cataract & Refractive Surgery,Journal of Refractive Surgery,0.89,0.732,med_ophthalmologyoptometry
Journal of Cataract & Refractive Surgery,Journal of Cardiology & Current Research,0.887,0.512,med_ophthalmologyoptometry
JAMA Ophthalmology,JAMA Ophthalmology,1,1,med_ophthalmologyoptometry
JAMA Ophthalmology,Ganka. Ophthalmology,0.896,0.667,med_ophthalmologyoptometry
JAMA Ophthalmology,JAMA Dermatology,0.876,0.526,med_ophthalmologyoptometry
Investigative Ophthalmology & Visual Science,Investigative Ophthalmology & Visual Science,1,1,med_ophthalmologyoptometry
Investigative Ophthalmology & Visual Science,Investigative and Clinical Urology,0.872,0.467,med_ophthalmologyoptometry
Investigative Ophthalmology & Visual Science,Investigative urology,0.851,0.422,med_ophthalmologyoptometry
Graefe's Archive for Clinical and Experimental Ophthalmology,Graefes Archive for Clinical and Experimental Ophthalmology,0.997,0.967,med_ophthalmologyoptometry
Graefe's Archive for Clinical and Experimental Ophthalmology,Chinese Journal of Clinical Pharmacology and Therapeutics,0.776,0.525,med_ophthalmologyoptometry
Graefe's Archive for Clinical and Experimental Ophthalmology,Group Facilitation: A Research and Applications Journal,0.767,0.295,med_ophthalmologyoptometry
"Eye (London, England)",Eye,0.8,0.182,med_ophthalmologyoptometry
"Eye (London, England)",Elo,0.743,0.091,med_ophthalmologyoptometry
"Eye (London, England)","Mental health today (Brighton, England)",0.719,0.325,med_ophthalmologyoptometry
Experimental Eye Research,Experimental Eye Research,1,1,med_ophthalmologyoptometry
Experimental Eye Research,Experimental Cell Research,0.944,0.815,med_ophthalmologyoptometry
Experimental Eye Research,Experimental Lung Research,0.927,0.815,med_ophthalmologyoptometry
Cornea,Cornea,1,1,med_ophthalmologyoptometry
Cornea,Corela,0.922,0.571,med_ophthalmologyoptometry
Cornea,Cornell Law Review,0.867,0.263,med_ophthalmologyoptometry
Clinical Ophthalmology,Clinical Ophthalmology,1,1,med_ophthalmologyoptometry
Clinical Ophthalmology,Clinical ophthalmic oncology,0.948,0.759,med_ophthalmologyoptometry
Clinical Ophthalmology,Clinical Neuropathology,0.917,0.667,med_ophthalmologyoptometry
British Journal of Ophthalmology,British Journal of Ophthalmology,1,1,med_ophthalmologyoptometry
British Journal of Ophthalmology,British Journal of Haematology,0.94,0.758,med_ophthalmologyoptometry
British Journal of Ophthalmology,British Journal of Pharmacology,0.934,0.788,med_ophthalmologyoptometry
BMC Ophthalmology,BMC Ophthalmology,1,1,med_ophthalmologyoptometry
BMC Ophthalmology,BMC Hematology,0.893,0.5,med_ophthalmologyoptometry
BMC Ophthalmology,BMC Plant Biology,0.89,0.5,med_ophthalmologyoptometry
American Journal of Ophthalmology,American Journal of Ophthalmology,1,1,med_ophthalmologyoptometry
American Journal of Ophthalmology,American Journal of Pathology,0.962,0.765,med_ophthalmologyoptometry
American Journal of Ophthalmology,American Journal of Otology,0.956,0.765,med_ophthalmologyoptometry
Acta Ophthalmologica,Acta Ophthalmologica,1,1,med_ophthalmologyoptometry
Acta Ophthalmologica,Acta Ophthalmologica Scandinavica,0.921,0.618,med_ophthalmologyoptometry
Acta Ophthalmologica,Acta Neophilologica,0.916,0.667,med_ophthalmologyoptometry
Natural Products Reports,Natural Product Reports,0.957,0.92,chm_medicinalchemistry
Natural Products Reports,Natural Product Letters,0.921,0.64,chm_medicinalchemistry
Natural Products Reports,Natural Product Updates,0.921,0.64,chm_medicinalchemistry
Mini Reviews in Medicinal Chemistry,Mini-reviews in Medicinal Chemistry,0.93,0.944,chm_medicinalchemistry
Mini Reviews in Medicinal Chemistry,Mini-reviews in Organic Chemistry,0.866,0.694,chm_medicinalchemistry
Mini Reviews in Medicinal Chemistry,Minimally Invasive Therapy & Allied Technologies,0.823,0.265,chm_medicinalchemistry
Medicinal Research Reviews,Medicinal Research Reviews,1,1,chm_medicinalchemistry
Medicinal Research Reviews,Medical research archives,0.936,0.63,chm_medicinalchemistry
Medicinal Research Reviews,Medicinal Chemistry Research,0.898,0.655,chm_medicinalchemistry
Medicinal Chemistry Communications,Medicinal Chemistry,0.912,0.571,chm_medicinalchemistry
Medicinal Chemistry Communications,Medicinal Chemistry Research,0.891,0.571,chm_medicinalchemistry
Medicinal Chemistry Communications,Medicinal Chemistry Reviews - Online,0.874,0.595,chm_medicinalchemistry
Journal of Medicinal Chemistry,Journal of Medicinal Chemistry,1,1,chm_medicinalchemistry
